business_id,name,address,longitude,latitude,stars,review_count,categories
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,1001 Poydras St,-90.0744274301,29.9506467229,4.5,350,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces"
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,901 Iberville St,-90.0700619,29.9554151,4.0,382,"Restaurants, Seafood, Cajun/Creole"
FRYkg_JvsWU9xIXZsEZcVA,Altamura,2127 Prytania St,-90.079498291,29.9333877563,3.5,27,"Cocktail Bars, Italian, Nightlife, Seafood, Bars, Restaurants"
4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,949 N Rendon St,-90.086423,29.976762,4.5,8,"American (New), Food, Bars, Nightlife, Lounges, Restaurants"
Edg22x3CZkIv0GUib2oEFA,Mellow Mushroom,8227 Oak St,-90.1312502816,29.9486236188,3.5,149,"Pizza, Restaurants, Bars, Nightlife, Sandwiches"
W57cR9a7XP6RX56MSWHJJA,Las Margaritas,514 S Rampart St,-90.074887,29.95029,3.5,58,"Mexican, Restaurants"
x7_p5O3ChQa7shdHCcLHZQ,Olivier's Creole Restaurant,204 Decatur St,-90.0715323,29.9510658,3.5,172,"Event Planning & Services, Party & Event Planning, Restaurants, Seafood, Soul Food, Southern, Ethnic Food, Specialty Food, Venues & Event Spaces, Cajun/Creole, Food"
IOZrqUQ2Jg6UeQ5CWpsmkg,Nesbit's Magazine Street Market,301 Magazine St,-90.0679445,29.9504773,5.0,7,"Convenience Stores, Food, Grocery, Coffee & Tea, Beer, Wine & Spirits"
b7YJrFZWZdI2C5-9nZvVdw,Saltwater Grill,710 S Carrollton Ave,-90.133537,29.944454,2.5,34,"Specialty Food, Restaurants, Food, Seafood, Seafood Markets"
Qa1YQzo00sm9O0JUlwdCQw,Taste of Nawlins,504 Madison St,-90.0618951,29.9580151,4.0,178,"Historical Tours, Tours, Hotels & Travel, Food Tours, Walking Tours"
bSJczuohHVko33UT82hnfA,Blaze Pizza,611 O'keefe Ave,-90.075281,29.948395,4.0,302,"Pizza, Fast Food, Gluten-Free, Restaurants, Salad"
dk9zGFRJD2RXkHqAmFHOOA,Garage Pizza,2828 Canal St,-90.0895672,29.9668143,4.0,6,"American (New), Sandwiches, Restaurants, Pizza"
Hp3Ony7yW60VPuWHQFIIHA,Frady's One Stop Food Store,3231 Dauphine St,-90.0426042,29.963974,4.5,73,"Delis, Food, Grocery, Restaurants"
hK59rATCI9o_rmeQu57RWw,De Ville Coffee House & Creperie,508 Dumaine St,-90.06163,29.958501,4.5,36,"Coffee & Tea, Food"
k6NkyANDoAMSNpa9_VD8IQ,Rosa Mezcal,1814 Magazine St,-90.0736488057,29.9316559894,4.0,76,"Restaurants, Mexican"
1ddqdY_piKp-abaZ-bGRSA,Crescent City Steak House,1001 N Broad St,-90.0810244,29.9733253,3.5,226,"Steakhouses, Restaurants"
yUcMPv-B9gCUUNT-GUiJbw,The flagpole Nola,2023 Esplanade Ave,-90.0724686,29.9724753,5.0,30,"Shaved Ice, Juice Bars & Smoothies, Desserts, Coffee & Tea, Food"
MC5pczUOBUN-0MtJAYk46Q,Cupcake Fairies,2511 Bayou Rd,-90.076105,29.976258,5.0,20,"Event Planning & Services, Cupcakes, Desserts, Food, Caterers"
Wc-c_hQK4vFCl9keeVTUZw,Felix's Restaurant & Oyster Bar,7400 Lakeshore Dr,-90.1136223,30.023792,3.5,255,"Restaurants, Cajun/Creole, Seafood, Southern"
du_yelFmWOZDEyIAE-jdsQ,Taco Del Mar,"1515-Poydras St, Ste 160",-90.0782639989,29.9522480802,2.0,9,"Restaurants, Mexican, Fast Food, Tex-Mex"
nePPSHdai8L7aWmXwOZHEg,Stokehold Restaurant,4124 Tchoupitoulas St,-90.0982621,29.9170045,4.5,13,"Breweries, American (New), Restaurants, Burgers, American (Traditional), Gastropubs, Brewpubs, Food, Fish & Chips"
W4ZEKkva9HpAdZG88juwyQ,Mr. B's Bistro,201 Royal St,-90.0683629,29.9543868,4.0,2064,"Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife"
qWZimITbVwNSGJZsuM47-Q,Pho Orchid Uptown,2135 St Charles Ave,-90.0806121826,29.9345207214,3.5,81,"Nightlife, Bars, Vietnamese, Restaurants, French"
micimc15zJloGJaktAHBsQ,Nacho Mama's Mexican Grill,6325 Elysian Fields,-90.0608272,30.0237817,2.5,14,"Mexican, Restaurants"
Y2NFeGtConx1qciSPKcRlA,Reginelli's Pizzeria - Closed,3244 Magazine St,-90.0875812,29.9233127,3.5,171,"Restaurants, Sandwiches, Italian, Pizza"
0AQJ-QTu7GtxaP4SoD07yA,Sno-La Snowball Lounge,2311 N Causeway Blvd,-90.1550396,29.9943479,4.5,177,"Ice Cream & Frozen Yogurt, Shaved Ice, Food, Desserts"
5wgoIQXyP3BEPZLiVi1W8A,The Howlin' Wolf,907 S Peters St,-90.065991,29.9426876,3.5,213,"Arts & Entertainment, Restaurants, Bars, Music Venues, Pubs, Nightlife, American (Traditional)"
